article_id,article_url,category
1,https://www.usatoday.com/story/news/nation/2020/07/12/florida-daily-covid-19-cases-hit-15-000-new-united-states-high/5423785002/,Stories
2,https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/,Stats
3,https://morgan-hill.ca.gov/1980/Coronavirus-COVID-19,Safety
4,https://www.kron4.com/news/bay-area/community-spread-likely-source-for-covid-19-clusters-at-4-costco-stores-in-santa-clara-county/,Stories
5,https://www.sccgov.org/sites/covid19/Pages/covid19-testing.aspx,Safety
6,https://www.ncaa.com/live-updates/ncaa/ncaa-sports-news-schedule-changes-coronavirus-updates-all-sports,Stories
7,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,Stats
8,https://www.advisory.com/daily-briefing/2020/07/06/coronavirus-cases,Stats
9,https://www.statista.com/statistics/1102807/coronavirus-covid19-cases-number-us-americans-by-state/,Stats
10,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,Safety
11,https://www.cbssports.com/mlb/news/cardinals-covid-19-outbreak-st-louis-has-13-positive-tests-series-vs-tigers-postponed/,Stories
12,https://www.webmd.com/lung/covid-19-symptoms#1,Safety
13,https://psychiatry.ucsf.edu/coronavirus/coping,Safety
14,https://www.espn.com/espn/story/_/id/28871525/coronavirus-cancellations-reactions-sports,Stories
15,https://www.mercurynews.com/2020/08/03/coronavirus-unemployed-bay-area-workers-find-new-calling-new-paychecks/,Stories
